hs6,hs6_name
291830,Carboxylic_acids_with_aldehyde_or_ketone_function_but_without_other_oxygen_function__their_anhydrides__halides__peroxides__peroxyacids_and_their_derivatives
292090,Other
292141,Aniline_and_its_salts
292213,Triethanolamine_and_its_salts
292219,Other
292242,Glutamic_acid_and_its_salts
292419,Other
292429,Other
292519,Other
292529,Other
292910,Isocyanates
293090,Other
293219,Other
293220,Lactones_:
293321,Hydantoin_and_its_derivatives
293339,Other
293349,Other
293359,Other
293399,Other
293499,Other
294000,Sugars__chemically_pure__other_than_sucrose__lactose__maltose__glucose_and_fructose;_sugar_ethers__sugar_acetals_and_sugar_esters__and_their_salts__other_than_products_of_heading_29.37__29.38_or_29.39.
300190,Other
300210,Antisera__other_blood_fractions_and_immunological_products__whether_or_not_modified_or_obtained_by_means_of_biotechnological_processes
300290,Other
300440,Containing_alkaloids_or_derivatives_thereof_but_not_containing_hormones__other_products_of_heading_29.37_or_antibiotics
300490,Other
300510,Adhesive_dressings_and_other_articles_having_an_adhesive_layer
300610,Sterile_surgical_catgut__similar_sterile_suture_materials_(including_sterile_absorbable_surgical_or_dental_yarns)_and_sterile_tissue_adhesives_for_surgical_wound_closure;_sterile_laminaria_and_sterile_laminaria_tents;_sterile_absorbable_surgical_or_dental_haemostatics;_sterile_surgical_or_dental_adhesion_barriers__whether_or_not_absorbable
300640,Dental_cements_and_other_dental_fillings;_bone_reconstruction_cements
300691,Appliances_identifiable_for_ostomy_use
310430,Potassium_sulphate
320190,Other
320300,Colouring_matter_of_vegetable_or_animal_origin_(including_dyeing_extracts_but_excluding_animal_black)__whether_or_not_chemically_defined;_preparations_as_specified_in_Note_3_to_this_Chapter_based_on_colouring_matter_of_vegetable_or_animal_origin.
320412,Acid_dyes__whether_or_not_premetallised__and_preparations_based_thereon;_mordant_dyes_and_preparations_based_thereon
320417,Pigments_and_preparations_based_thereon
320419,Other__including_mixtures_of_colouring_matter_of_two_or_more_of_the_subheadings_3204.11_to_3204.19
320641,Ultramarine_and_preparations_based_thereon
320642,Lithopone_and_other_pigments_and_preparations_based_on_zinc_sulphide
320649,Other
320890,Other
